会場	かいじょう
店員	てんいん
地震	じしん
	または
法律	ほうりつ
確か	たしか
	ガソリン
彼	かれ
	なさる
火	ひ
決して	けっして
	きっと
受ける	うける
無くなる	なくなる
	コンピュータ/コンピューター
連絡	れんらく
進む	すすむ
	すく
間に合う	まにあう
電報	でんぽう
不便	ふべん
息子	むすこ
卒業	そつぎょう
	けが・する
味	あじ
喜ぶ	よろこぶ
	もし
近所	きんじょ
泳ぎ方	およぎかた
小鳥	ことり
払う	はらう
開く	ひらく
億	おく
	よろしい
普通	ふつう
戦争	せんそう
	けんか・する
経験	けいけん・する
見える	みえる
技術	ぎじゅつ
代わり	かわり
非常に	ひじょうに
	ハンドバッグ
続ける	つづける
急行	きゅうこう
中学校	ちゅうがっこう
	ジャム
	アルコール
裏	うら
売り場	うりば
故障	こしょう・する
新聞社	しんぶんしゃ
お・金持ち	かねもち/おかねもち
尋ねる	たずねる
	はっきり
致す	いたす
機会	きかい
凄い	すごい
用意	ようい
	はず
試合	しあい
腕	うで
十分	じゅうぶん
場所	ばしょ
部長	ぶちょう
さ来月	さらいげつ
昔	むかし
	エスカレーター
ご存じ	ごぞんじ
以上	いじょう
着物	きもの
夫	おっと
変	へん
	サンダル
投げる	なげる
暮れる	くれる
正しい	ただしい
天気予報	てんきよほう
隅	すみ
味噌	みそ
気	き
研究室	けんきゅうしつ
	サラダ
	パソコン
深い	ふかい
	スーツ
	いらっしゃる
	いじめる
	ぜひ
番組	ばんぐみ
教育	きょういく
	びっくり・する
	それに
日記	にっき
大事	だいじ
滑る	すべる
焼ける	やける
空気	くうき
飾る	かざる
校長	こうちょう
	オートバイ
	もっとも
星	ほし
決める	きめる
一度	いちど
	ぶどう
辞典	じてん
	まじめ
訳	わけ
	おつり
	ごらんになる
安心	あんしん
西洋	せいよう
家内	かない
	スーツケース
	うれしい
真中	まんなか
競争	きょうそう
	におい
柔らかい	やわらかい
予約	よやく
今度	こんど
皆	みな
沸く	わく
指	ゆび
経済	けいざい
降り出す	ふりだす
試験	しけん
仕方	しかた
堅/硬/固い	かたい
召し上がる	めしあがる
包む	つつむ
申す	もうす
台風	たいふう
娘	むすめ
眠い	ねむい
用	よう
拝見	はいけん・する
漫画	まんが
教会	きょうかい
旅館	りょかん
道具	どうぐ
落る	おちる
寺	てら
釣る	つる
	おもちゃ
放送	ほうそう・する
	やっと
	すり
下りる	おりる
落す	おとす
	とうとう
案内	あんない・する
お見舞い	おみまい
	つき
	サンドイッチ
関係	かんけい
必ず	かならず
	ベル
	もらう
火事	かじ
思う	おもう
運ぶ	はこぶ
消しゴム	けしゴム
伝える	つたえる
御主人	ごしゅじん
文法	ぶんぽう
米	こめ
直す	なおす
彼女	かのじょ
運転手	うんてんしゅ
拾う	ひろう
入院	にゅういん・する
遠慮	えんりょ・する
	ビル
地理	ちり
役に立つ	やくにたつ
揺れる	ゆれる
医学	いがく
砂	すな
回る	まわる
神社	じんじゃ
	けれど/けれども
支度	したく・する
	ほど
	ほめる
君	きみ
相談	そうだん・する
産業	さんぎょう
工業	こうぎょう
特別	とくべつ
	たいてい
恥ずかしい	はずかしい
屋上	おくじょう
輸入	ゆにゅう・する
	のど
下げる	さげる
久しぶり	ひさしぶり
今夜	こんや
移る	うつる
	もうすぐ
	ほとんど
引き出す	ひきだす
光る	ひかる
政治	せいじ
反対	はんたい
光	ひかり
亡くなる	なくなる
注射	ちゅうしゃ
心	こころ
贈り物	おくりもの
例えば	たとえば
大体	だいたい
水泳	すいえい
港	みなと
	アクセサリー
厳しい	きびしい
	しかる
研究	けんきゅう
葉	は
触る	さわる
美術館	びじゅつかん
	つもり
自由	じゆう
割合	わりあい
注意	ちゅうい
	こと
表	おもて
楽む	たのしむ
	ピアノ
